PNR Number,Train Number,Date of Journey,Class of Travel,Quota,Source Station,Destination Station,Booking Date,Current Status,Number of Passengers,Age of Passengers,Booking Channel,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status
PNR0000005930,87932,26/11/40,3AC,General,JU,LKO,27/03/40,RAC,1,Adult,IRCTC Website,110,19,24,Rajdhani,217,Defense Quota,Yes,,Confirmed
PNR0000005931,83320,27/11/40,2AC,General,CSMT,HWH,28/03/40,RAC,4,Adult,,1458,6,13,Express,52,None,Yes,,Confirmed
PNR0000005932,16398,28/11/40,3AC,Ladies,CNB,UMB,29/03/40,RAC,5,Child,Mobile App,1761,16,15,Shatabdi,352,None,No,,Confirmed
PNR0000005933,24757,29/11/40,2AC,Ladies,ADI,HWH,30/03/40,RAC,4,Adult,Counter,1623,13,35,Express,333,Defense Quota,No,,Confirmed
PNR0000005934,45895,30/11/40,Sleeper,Premium Tatkal,BSB,ADI,31/03/40,Confirmed,5,Adult,Counter,1886,19,44,Shatabdi,111,Defense Quota,No,,Confirmed
PNR0000005935,50633,01/12/40,Sleeper,General,BCT,BCT,01/04/40,Waitlisted,4,Senior Citizen,Counter,358,3,3,Rajdhani,470,None,Yes,WL072,Not Confirmed
PNR0000005936,22704,02/12/40,3AC,Premium Tatkal,SBC,NJP,02/04/40,Confirmed,1,Senior Citizen,IRCTC Website,477,16,20,Express,270,Senior Citizen,No,,Confirmed
PNR0000005937,90935,12/03/40,Sleeper,Tatkal,ASR,NDLS,03/04/40,Confirmed,3,Child,Mobile App,1187,5,38,ExOress,302,Defense Quota,No,,Confirmed
PNR0000005938,42570,04/12/40,3AC,Premium Tatkal,PNBE,CSMT,04/04/40,RAC,2,Child,Mobile App,1076,10,6,Shatabdi,496,None,Yes,,Confirmed
PNR0000005939,30605,05/12/40,Sleeper,Premium Tatkal,NDLS,KOAA,05/04/40,RAC,3,Child,Mobile App,1490,8,40,Superfast,,Senior Citizen,No,,Confirmed
PNR0000005940,83605,06/12/40,3AC,Tatkal,ADI,LKO,06/04/40,Waitlisted,5,Senior Citizen,Counter,91,12,10,Shatabdi,155,Defense Quota,No,WL187,Not Confirmed
PNR0000005941,55991,07/12/40,2AC,General,JU,CSMT,07/04/40,Confirmed,2,Adult,Counter,136,2,8,Rajdhani,466,Defense Quota,No,,Confirmed
PNR0000005942,25165,08/12/40,,Premium Tatkal,BBS,PNBE,08/04/40,RAC,2,Senior Citizen,,559,3,24,Rajdhani,291,None,Yes,,Confirmed
PNR0000005943,47820,09/12/40,2AC,,CNB,UMB,04/09/40,RAC,5,Adult,Mobile App,323,3,4,Superfast,35,Senior Citizen,Yes,,Confirmed
PNR0000005944,32171,10/12/40,Sleeper,Ladies,HWH,PNBE,10/04/40,RAC,5,Adult,Mobile App,814,18,11,Express,468,Defense Quota,Yes,,Confirmed
PNR0000005945,56949,11/12/40,Sleeper,Ladies,NDLS,PNBE,11/04/40,Confirmed,5,Adult,Mobile App,1512,7,15,Superfast,460,None,No,,Confirmed
PNR0000005946,79993,12/12/40,3AC,Ladies,CSMY,SC,12/04/40,Confirmed,3,Senior Citizen,Counter,613,6,2,Shatabdi,136,Defense Quota,Yes,,Confirmed
PNR0000005947,62836,13/12/40,3AC,,UMB,GKP,04-13-2040,Waitlisted,4,Senior Citizen,IRCTC Website,486,3,36,Superfast,235,None,Yes,WL015,Not Confirmed
PNR0000005948,88649,14/12/40,,Tatkal,MMCT,ADI,04-14-2040,Waitlisted,3,Senior Citizen,Mobile App,445,17,44,Rajdhani,67,None,No,WL027,Not Confirmed
PNR0000005949,73335,15/12/40,Sleeper,Premium Tatkal,LTT,CSMT,15/04/40,Confirmed,1,Adult,Counter,1363,10,16,ExRress,,Senior Citizen,Yes,,Confirmed
PNR0000005950,75732,16/12/40,3AC,,UMB,SBC,16/04/40,Confirmed,4,Adult,,1063,14,2,Express,95,Senior Citizen,No,,Confirmed
PNR0000005951,93393,17/12/40,3AC,Ladies,PNBE,LTT,17/04/40,Waitlisted,3,Child,,1903,2,14,Puperfast,,Defense Quota,No,WL148,Not Confirmed
PNR0000005952,36571,18/12/40,,Ladies,ASR,SBC,18/04/40,Confirmed,5,Adult,Counter,314,7,6,Rajdhani,206,Senior Citizen,Yes,,Confirmed
PNR0000005953,17462,19/12/40,Sleeper,Ladies,BCT,MMCT,19/04/40,Waitlisted,1,Child,IRCTC Website,1131,11,32,Shatabdi,168,Defense Quota,Yes,WL141,Not Confirmed
PNR0000005954,17001,20/12/40,2AC,Ladies,ADI,BSB,20/04/40,RAC,2,Senior Citizen,Counter,188,4,18,Rajdhani,305,Senior Citizen,Yes,,Confirmed
PNR0000005955,84608,21/12/40,Sleeper,Premium Tatkal,CSMT,NDLS,21/04/40,RAC,2,Senior Citizen,Counter,1865,19,22,Superfast,61,Defense Quota,No,,Confirmed
PNR0000005956,45407,22/12/40,1AC,General,LKO,ASR,22/04/40,RAC,4,Senior Citizen,Mobile App,1710,10,7,Superfast,395,Defense Quota,No,,Confirmed
PNR0000005957,52657,23/12/40,3AC,Premium Tatkal,PNBE,LTT,23/04/40,RAC,5,Adult,IRCTC Website,760,13,27,Shatabdi,419,None,Yes,,Confirmed
PNR0000005958,92230,24/12/40,2AC,Tatkal,BCT,JP,24/04/40,Waitlisted,5,Child,Counter,386,16,42,Shatabdi,200,Senior Citizen,Yes,WL108,Not Confirmed
PNR0000005959,20265,25/12/40,2AC,Ladies,BBS,CSMT,25/04/40,Confirmed,1,Adult,Mobile App,848,11,39,Shatabdi,167,Defense Quota,No,,Confirmed
PNR0000005960,42571,26/12/40,,Ladies,JP,HWH,26/04/40,Waitlisted,4,Senior Citizen,IRCTC Website,1778,10,4,Express,152,Senior Citizen,No,WL097,Not Confirmed
PNR0000005961,46909,27/12/40,Sleeper,Tatkal,ASR,BSB,27/04/40,Confirmed,1,Adult,Counter,202,19,47,Shatabdi,467,Defense Quota,No,,Confirmed
PNR0000005962,19020,28/12/40,3AC,General,JP,BSB,28/04/40,RAC,4,Senior Citizen,Mobile App,1237,6,12,Rajdhani,250,Senior Citizen,Yes,,Confirmed
PNR0000005963,83958,29/12/40,Sleeper,Ladies,ASR,BCT,29/04/40,Waitlisted,1,Senior Citizen,Mobile App,447,6,26,Express,276,Defense Quota,Yes,WL092,Not Confirmed
PNR0000005964,65545,30/12/40,2AC,Tatkal,ASR,PNBE,30/04/40,Confirmed,5,Adult,Counter,1406,8,40,Express,343,None,No,,Confirmed
PNR0000005965,35129,31/12/40,3AC,Ladies,CSMT,JHS,01/05/40,Waitlisted,1,Adult,Mobile App,457,17,19,Rajdhani,229,Senior Citizen,No,WL082,Not Confirmed
PNR0000005966,90348,01/01/41,Sleeper,General,BCT,UMB,02/05/40,Confirmed,2,Adult,Mobile App,1551,14,19,Shatabdi,216,None,No,,Confirmed
PNR0000005967,22594,02/01/41,3AC,,ADI,JU,03/05/40,RAC,1,Senior Citizen,IRCTC Website,1598,10,16,Express,246,None,Yes,,Confirmed
PNR0000005968,44295,01/03/41,3AC,Ladies,SBC,ADI,04/05/40,Confirmed,4,Adult,Mobile App,1741,15,36,Superfast,466,Defense Quota,No,,Confirmed
PNR0000005969,94699,04/01/41,3AC,Ladies,CSMT,JU,05/05/40,RAC,2,Child,IRCTC Website,262,16,9,Shatabdi,438,None,No,,Confirmed
PNR0000005970,38802,05/01/41,2AC,General,MAS,ASR,06/05/40,Confirmed,4,Child,IRCTC Website,1780,14,7,Rajdhani,243,Defense Quota,No,,Confirmed
PNR0000005971,39889,06/01/41,Sleeper,Ladies,MAS,ADI,07/05/40,Waitlisted,2,Adult,Counter,613,7,37,Rajdhani,61,None,Yes,WL058,Not Confirmed
PNR0000005972,64566,07/01/41,Sleeper,Tatkal,MAS,GKP,08/05/40,RAC,1,Adult,Counter,1330,11,8,Superfast,498,Defense Quota,Yes,,Confirmed
PNR0000005973,59177,08/01/41,Sleeper,Premium Tatkal,KOAA,NJP,09/05/40,Waitlisted,3,Senior Citizen,IRCTC Website,1768,9,20,Express,53,Defense Quota,Yes,WL097,Not Confirmed
PNR0000005974,43360,09/01/41,3AC,Ladies,BBS,KOAA,10/05/40,RAC,3,Senior Citizen,Mobile App,489,16,9,Superfast,313,None,Yes,,Confirmed
PNR0000005975,84487,10/01/41,,Premium Tatkal,ASR,LTT,11/05/40,Confirmed,2,Child,IRCTC Website,538,17,11,Shatabdi,387,None,No,,Confirmed
PNR0000005976,85144,11/01/41,3AC,Ladies,LTT,SBC,12/05/40,Waitlisted,3,Adult,IRCTC Website,386,18,3,Superfast,6,Defense Quota,Yes,WL192,Not Confirmed
PNR0000005977,82823,12/01/41,1AC,Premium Tatkal,BCT,UMB,13/05/40,RAC,2,Senior Citizen,Mobile App,1250,3,23,Express,314,Senior Citizen,No,,Confirmed
PNR0000005978,87716,13/01/41,,General,GKP,LTT,14/05/40,Confirmed,4,Adult,Mobile App,537,10,28,Shatabdi,464,Defense Quota,Yes,,Confirmed
PNR0000005979,30726,14/01/41,1AC,Tatkal,MAS,HWH,15/05/40,Waitlisted,4,Adult,IRCTC Website,1339,5,28,Superfast,490,Senior Citizen,Yes,WL090,Not Confirmed
PNR0000005980,64790,15/01/41,1AC,Ladies,SBC,MAS,16/05/40,Confirmed,5,Adult,,106,7,3,Superfast,36,Senior Citizen,Yes,,Confirmed
PNR0000005981,51233,16/01/41,1AC,Ladies,GKP,BSB,17/05/40,Confirmed,1,Child,Counter,1265,5,46,Rajdhani,192,None,No,,Confirmed
PNR0000005982,13188,01-17-2041,2AC,General,SC,JU,18/05/40,Waitlisted,1,Child,,1879,5,40,Superfast,445,Defense Quota,Yes,WL062,Not Confirmed
PNR0000005983,73413,01-18-2041,3AC,General,CSMT,HWH,19/05/40,Confirmed,3,Adult,,103,13,32,Shatabdi,470,Defense Quota,No,,Confirmed
PNR0000005984,11075,19/01/41,,General,MMCT,JP,05-20-2040,Waitlisted,2,Senior Citizen,IRCTC Website,1379,3,43,Rajdhani,34,None,No,,Not Confirmed
PNR0000005985,97064,20/01/41,3AC,,ADI,SBC,21/05/40,RAC,2,Child,Counter,1707,9,34,Superfast,14,Defense Quota,Yes,,Confirmed
PNR0000005986,76163,21/01/41,3AC,Ladies,JU,HWH,22/05/40,Waitlisted,5,Child,IRCTC Website,469,14,47,Chatabdi,89,None,Yes,WL060,Not Confirmed
PNR0000005987,25729,01-22-2041,3AC,Premium Tatkal,JP,BBS,23/05/40,RAC,1,Child,Mobile App,443,14,9,Superfast,9,Senior Citizen,Yes,,Confirmed
PNR0000005988,97075,23/01/41,1AC,Premium Tatkal,UMB,HWH,24/05/40,RAC,5,Senior Citizen,Counter,1583,12,34,Rajdhani,,Defense Quota,Yes,,Confirmed
PNR0000005989,64891,24/01/41,1AC,General,JU,MAS,25/05/40,Confirmed,4,Child,IRCTC Website,957,3,43,Superfast,146,Senior Citizen,No,,Confirmed
PNR0000005990,53254,25/01/41,2AC,,ADI,SBC,26/05/40,Waitlisted,5,Child,Mobile App,1101,12,32,Express,397,Defense Quota,No,WL021,Not Confirmed
PNR0000005991,86211,26/01/41,,Ladies,PNBE,CNB,27/05/40,RAC,3,Senior Citizen,Mobile App,1137,6,6,Express,352,Defense Quota,No,,Confirmed
PNR0000005992,72602,27/01/41,3AC,,ASR,MMCT,28/05/40,Waitlisted,1,Adult,Counter,1528,9,16,Express,322,Defense Quota,No,WL095,Not Confirmed
PNR0000005993,40980,28/01/41,Sleeper,Tatkal,KOAA,BCT,29/05/40,RAC,4,Adult,Counter,1299,13,36,Express,76,None,No,,Confirmed
PNR0000005994,62997,29/01/41,3AC,,UMB,GKP,30/05/40,RAC,1,Adult,IRCTC Website,299,10,38,Rajdhani,488,None,No,,Confirmed
PNR0000005995,91676,30/01/41,1AC,Premium Tatkal,CSMT,ASR,31/05/40,Waitlisted,3,Senior Citizen,Mobile App,1910,18,25,Express,429,Defense Quota,No,WL008,Not Confirmed
PNR0000005996,58206,31/01/41,3AC,General,UMB,KOAA,01/06/40,Confirmed,3,Child,Counter,1959,6,40,Rajdhani,370,None,Yes,,Confirmed
PNR0000005997,72972,01/02/41,2AC,General,MMCT,JP,06/02/40,Waitlisted,1,Senior Citizen,IRCTC Website,967,17,22,Rajdhani,286,None,Yes,WL134,Not Confirmed
PNR0000005998,62469,02/02/41,3AC,Tatkal,BBS,JU,03/06/40,Waitlisted,5,Child,Counter,1608,5,44,Rajdhani,362,None,Yes,,Not Confirmed
PNR0000005999,70967,03/02/41,1AC,General,GKP,LTT,04/06/40,Confirmed,1,Senior Citizen,IRCTC Website,1831,6,24,Shatabdi,400,Senior Citizen,Yes,,Confirmed
PNR0000006000,49971,04/02/41,3AC,,PNBE,ASR,05/06/40,Waitlisted,2,Child,Counter,1851,3,2,Express,137,Senior Citizen,Yes,WL168,Not Confirmed
PNR0000006001,45219,05/02/41,Sleeper,Premium Tatkal,CSMT,BCT,06/06/40,Confirmed,5,Senior Citizen,Counter,195,18,16,Rajdhani,234,None,No,,Confirmed
PNR0000006002,69379,02/06/41,2AC,Premium Tatkal,LKO,UMB,07/06/40,Confirmed,3,Adult,Counter,1039,15,9,Express,233,Senior Citizen,Yes,,Confirmed
PNR0000006003,50577,07/02/41,1AC,Tatkal,MMCT,BSB,08/06/40,Waitlisted,1,Child,,59,15,27,Shatabdi,241,Senior Citizen,No,WL103,Not Confirmed
PNR0000006004,88854,08/02/41,2AC,,CSMT,NDLS,09/06/40,Confirmed,3,Adult,IRCTC Website,201,6,34,Express,345,Defense Quota,No,,Confirmed
PNR0000006005,81264,09/02/41,3AC,Ladies,BSB,HWH,10/06/40,RAC,4,Adult,IRCTC Website,1979,8,5,Rajdhani,324,Senior Citizen,No,,Confirmed
PNR0000006006,75184,10/02/41,1AC,Ladies,PNBE,BBS,11/06/40,Waitlisted,2,Adult,Counter,1236,12,27,Rajdhani,150,Senior Citizen,Yes,WL075,Not Confirmed
PNR0000006007,86714,11/02/41,Sleeper,General,MMCT,NDLS,12/06/40,Confirmed,4,Child,IRCTC Website,265,11,8,Express,265,Senior Citizen,No,,Confirmed
PNR0000006008,28173,12/02/41,2AC,General,SC,ASR,13/06/40,Confirmed,5,Child,IRCTC Website,917,3,42,Superfast,494,Senior Citizen,Yes,,Confirmed
PNR0000006009,60679,13/02/41,Sleeper,Tatkal,HWH,HWH,14/06/40,Waitlisted,5,Senior Citizen,Mobile App,1785,2,11,Rajdhani,466,Senior Citizen,Yes,WL166,Not Confirmed
PNR0000006010,65768,14/02/41,1AC,Ladies,SBC,MMCT,15/06/40,Waitlisted,1,Child,Counter,905,2,36,Rajdhani,315,Senior Citizen,No,WL033,Not Confirmed
PNR0000006011,47437,15/02/41,2AC,General,GKP,NDLS,06-16-2040,Waitlisted,1,Adult,Mobile App,1188,9,6,Shatabdi,30,None,Yes,WL133,Not Confirmed
PNR0000006012,40330,16/02/41,3AC,Ladies,CNB,LKO,17/06/40,Waitlisted,3,Senior Citizen,Counter,1240,13,10,Rajdhani,492,Defense Quota,Yes,WL133,Not Confirmed
PNR0000006013,95132,17/02/41,2AC,Ladies,SBC,TSMT,18/06/40,Confirmed,3,Child,,1811,7,38,Superfast,301,Senior Citizen,No,,Confirmed
PNR0000006014,88156,18/02/41,1AC,General,ASR,CSMT,19/06/40,Waitlisted,1,Senior Citizen,Mobile App,803,13,44,Superfast,357,Defense Quota,Yes,WL195,Not Confirmed
PNR0000006015,21393,19/02/41,Sleeper,Tatkal,MMCT,ADI,20/06/40,Confirmed,4,Senior Citizen,IRCTC Website,1647,6,35,Express,213,Defense Quota,Yes,,Confirmed
PNR0000006016,16829,20/02/41,1AC,Ladies,CNB,CSMT,21/06/40,Waitlisted,1,Child,Counter,215,7,8,Express,282,Senior Citizen,Yes,WL067,Not Confirmed
PNR0000006017,52407,21/02/41,1AC,,UMB,UMB,22/06/40,Confirmed,3,Child,Counter,1449,6,4,Superfast,4,Senior Citizen,No,,Confirmed
PNR0000006018,17921,22/02/41,Sleeper,Tatkal,KOAA,LKO,23/06/40,RAC,3,Senior Citizen,IRCTC Website,1776,7,42,Rajdhani,370,None,No,,Confirmed
PNR0000006019,94301,23/02/41,1AC,General,CNB,UMB,24/06/40,Waitlisted,3,Child,Mobile App,1972,3,39,Rajdhani,247,Senior Citizen,No,WL113,Not Confirmed
PNR0000006020,76576,24/02/41,1AC,Tatkal,ASR,KOAA,25/06/40,Confirmed,1,Adult,IRCTC Website,1025,2,43,Rajdhani,248,Defense Quota,No,,Confirmed
PNR0000006021,25569,25/02/41,3AC,Tatkal,NDLS,JHS,26/06/40,RAC,5,Child,Counter,808,18,6,Express,169,None,Yes,,Confirmed
PNR0000006022,68060,26/02/41,1AC,General,KOAA,MAS,27/06/40,Confirmed,1,Child,Mobile App,421,2,37,Rajdhani,173,Defense Quota,Yes,,Confirmed
PNR0000006023,79637,27/02/41,1AC,Premium Tatkal,JU,LKO,28/06/40,RAC,4,Senior Citizen,IRCTC Website,809,16,16,Shatabdi,378,Senior Citizen,Yes,,Confirmed
PNR0000006024,22647,28/02/41,3AC,Ladies,SBC,JP,29/06/40,Confirmed,2,Adult,Mobile App,622,14,46,Superfast,44,None,No,,Confirmed
PNR0000006025,68165,01/03/41,3AC,Ladies,CSMT,SC,30/06/40,Confirmed,3,Adult,Mobile App,305,9,12,Superfast,7,None,No,,Confirmed
PNR0000006026,42732,02/03/41,Sleeper,General,MAS,KOAA,01/07/40,RAC,2,Adult,Counter,880,4,45,Shatabdi,,Senior Citizen,Yes,,Confirmed
PNR0000006027,54630,03/03/41,2AC,Tatkal,PNBE,SC,02/07/40,RAC,1,Child,Counter,54,2,20,Superfast,122,Defense Quota,No,,Confirmed
PNR0000006028,95693,04/03/41,2AC,,ADI,ADI,03/07/40,Waitlisted,1,Adult,Mobile App,1052,8,44,Express,,Defense Quota,No,WL087,Not Confirmed
PNR0000006029,54333,05/03/41,Sleeper,General,BSB,HWH,04/07/40,Confirmed,1,Adult,IRCTC Website,1654,13,43,Shatabdi,58,None,No,,Confirmed
PNR0000006030,37964,06/03/41,3AC,Tatkal,BBS,JU,05/07/40,Confirmed,4,Adult,IRCTC Website,787,2,32,Superfast,435,None,No,,Confirmed
PNR0000006031,19691,07/03/41,3AC,Tatkal,JU,PNBE,06/07/40,Confirmed,2,Child,IRCTC Website,884,9,4,Superfast,113,None,Yes,,Confirmed
PNR0000006032,25002,08/03/41,Sleeper,Premium Tatkal,CSMT,JP,07/07/40,RAC,4,Adult,Counter,1971,13,37,Superfast,218,Senior Citizen,No,,Confirmed
PNR0000006033,30755,09/03/41,1AC,Ladies,BCT,NJP,08/07/40,Confirmed,5,Adult,IRCTC Website,1907,9,4,Rajdhani,327,Senior Citizen,Yes,,Confirmed
PNR0000006034,23745,10/03/41,Sleeper,Premium Tatkal,NJP,SC,09/07/40,Confirmed,5,Senior Citizen,IRCTC Website,1865,14,15,Shatabdi,27,None,Yes,,Confirmed
PNR0000006035,62308,03/11/41,3AC,Tatkal,MAS,SC,10/07/40,Confirmed,1,Child,Mobile App,1205,18,38,Rajdhani,72,Defense Quota,Yes,,Confirmed
PNR0000006036,63496,12/03/41,,General,BCT,MMCT,11/07/40,Waitlisted,4,Adult,Counter,1240,12,39,Superfast,194,Senior Citizen,Yes,WL030,Not Confirmed
PNR0000006037,55164,13/03/41,Sleeper,Ladies,MAS,GKP,12/07/40,RAC,3,Senior Citizen,IRCTC Website,78,6,32,Rajdhani,78,Senior Citizen,Yes,,Confirmed
PNR0000006038,31327,14/03/41,Sleeper,Tatkal,CSMT,LKO,13/07/40,Confirmed,5,Senior Citizen,IRCTC Website,1904,9,3,Express,358,Senior Citizen,Yes,,Confirmed
PNR0000006039,27507,15/03/41,2AC,Ladies,CNB,NDLS,14/07/40,Waitlisted,4,Child,Counter,188,6,36,Express,,Senior Citizen,No,WL018,Not Confirmed
PNR0000006040,34414,16/03/41,2AC,,NDLS,KOAA,15/07/40,Confirmed,2,Child,IRCTC Website,1877,15,36,Shatabdi,129,Senior Citizen,No,,Confirmed
PNR0000006041,32614,17/03/41,3AC,General,NJP,GKP,07-16-2040,Waitlisted,5,Adult,Counter,472,2,32,Superfast,204,None,No,WL029,Not Confirmed
PNR0000006042,25694,18/03/41,1AC,Premium Tatkal,PNBE,KOAA,17/07/40,Waitlisted,1,Senior Citizen,Counter,1876,3,36,Shatabdi,90,Senior Citizen,No,WL163,Not Confirmed
PNR0000006043,82403,19/03/41,Sleeper,Tatkal,MMCT,HWH,07-18-2040,Confirmed,3,Senior Citizen,Mobile App,1123,2,37,Shatabdi,164,Senior Citizen,Yes,,Confirmed
PNR0000006044,50254,20/03/41,Sleeper,Ladies,JP,LTT,19/07/40,Waitlisted,2,Adult,Mobile App,1416,18,36,Shatabdi,268,None,Yes,WL178,Not Confirmed
PNR0000006045,86862,21/03/41,3AC,Tatkal,BCT,JHS,20/07/40,Waitlisted,2,Senior Citizen,IRCTC Website,309,16,6,RajdhanQ,6,Defense Quota,Yes,WL141,Not Confirmed
PNR0000006046,60636,22/03/41,1AC,Ladies,NDLS,BBS,07-21-2040,Confirmed,3,Child,Counter,1093,5,13,Rajdhani,279,Defense Quota,No,,Confirmed
PNR0000006047,62454,23/03/41,3AC,Premium Tatkal,KOAA,NDLS,07-22-2040,Confirmed,1,Senior Citizen,Mobile App,769,2,37,Express,275,None,Yes,,Confirmed
PNR0000006048,83373,24/03/41,3AC,Ladies,CSMT,PNBE,23/07/40,RAC,5,Child,Counter,308,11,3,Superfast,419,None,Yes,,Confirmed
PNR0000006049,13422,25/03/41,2AC,General,HWH,PNBE,24/07/40,Confirmed,3,Adult,IRCTC Website,222,14,27,Superfast,250,None,Yes,,Confirmed
PNR0000006050,38306,26/03/41,2AC,Tatkal,MAS,LTT,25/07/40,Waitlisted,4,Child,IRCTC Website,539,13,38,Express,271,Senior Citizen,Yes,WL165,Not Confirmed
PNR0000006051,58447,27/03/41,Sleeper,Ladies,SBC,BBS,26/07/40,Waitlisted,3,Adult,Mobile App,551,10,31,Superfast,490,Defense Quota,Yes,WL088,Not Confirmed
PNR0000006052,65994,28/03/41,3AC,Ladies,HWH,MMCT,27/07/40,Waitlisted,1,Adult,Counter,847,12,24,Shatabdi,178,None,Yes,WL155,Not Confirmed
PNR0000006053,75486,29/03/41,2AC,Ladies,LKO,NDLS,28/07/40,RAC,3,Senior Citizen,Mobile App,193,4,11,Shatabdi,450,Senior Citizen,No,,Confirmed
PNR0000006054,71368,30/03/41,3AC,,SBC,CNB,29/07/40,Waitlisted,2,Child,,428,7,38,Rajdhani,146,Defense Quota,No,WL090,Not Confirmed
PNR0000006055,86155,31/03/41,3AC,General,ADI,JHS,07-30-2040,RAC,1,Adult,IRCTC Website,1925,7,20,Rajdhani,69,None,No,,Confirmed
PNR0000006056,51725,01/04/41,Sleeper,Ladies,NJP,BBS,31/07/40,RAC,2,Adult,Counter,1699,2,20,Express,137,None,No,,Confirmed
PNR0000006057,68787,02/04/41,1AC,Tatkal,BBS,ADI,01/08/40,Waitlisted,3,Child,Mobile App,1789,8,4,Shatabdi,291,Senior Citizen,No,WL035,Not Confirmed
PNR0000006058,38419,03/04/41,2AC,Premium Tatkal,LKO,MMCT,08/02/40,Waitlisted,2,Child,Mobile App,1374,11,28,Superfast,409,Senior Citizen,Yes,WL191,Not Confirmed
PNR0000006059,75433,04/04/41,2AC,Premium Tatkal,MMCJ,NJP,03/08/40,Waitlisted,3,Senior Citizen,Counter,206,12,17,Shatabdi,93,Senior Citizen,Yes,WL125,Not Confirmed
PNR0000006060,52252,05/04/41,1AC,General,CNB,ADI,04/08/40,Waitlisted,2,Adult,Counter,1817,13,31,Superfast,16,Senior Citizen,Yes,,Not Confirmed
PNR0000006061,47608,06/04/41,Sleeper,Ladies,ADI,JU,05/08/40,RAC,3,Senior Citizen,Counter,1821,5,2,Express,232,None,Yes,,Confirmed
PNR0000006062,91690,07/04/41,2AC,Tatkal,BSB,GKP,06/08/40,Waitlisted,1,Adult,IRCTC Website,121,15,26,Shatabdi,169,None,No,WL029,Not Confirmed
PNR0000006063,52578,08/04/41,,Tatkal,NJP,GKP,07/08/40,Confirmed,3,Child,Mobile App,1296,14,15,Rajdhani,,Defense Quota,Yes,,Confirmed
PNR0000006064,41540,09/04/41,3AC,Premium Tatkal,MMCT,CSMT,08/08/40,RAC,5,Senior Citizen,Mobile App,309,6,37,Superfast,469,None,No,,Confirmed
PNR0000006065,49005,10/04/41,,General,CSMT,JHS,09/08/40,Waitlisted,4,Child,,715,8,23,Rajdhani,110,Senior Citizen,Yes,WL185,Not Confirmed
PNR0000006066,42709,11/04/41,Sleeper,,LTT,CNB,10/08/40,Waitlisted,4,Adult,Counter,1417,19,10,Shatabdi,211,None,No,WL005,Not Confirmed
PNR0000006067,73311,12/04/41,3AC,Tatkal,ADI,BCT,11/08/40,Waitlisted,5,Adult,IRCTC Website,889,4,43,Shatabdi,226,None,Yes,WL093,Not Confirmed
PNR0000006068,58707,13/04/41,,Ladies,MAS,BSB,12/08/40,RAC,5,Child,Counter,1446,3,22,Express,292,Defense Quota,Yes,,Confirmed
PNR0000006069,68273,14/04/41,Sleeper,Premium Tatkal,UMB,BSB,13/08/40,RAC,1,Child,Counter,1235,15,22,Superfast,427,Senior Citizen,No,,Confirmed
PNR0000006070,35489,15/04/41,2AC,,LKO,BCT,14/08/40,RAC,3,Senior Citizen,Mobile App,1802,14,39,Rajdhani,209,None,No,,Confirmed
PNR0000006071,72036,16/04/41,2AC,Tatkal,GKP,BBS,15/08/40,RAC,4,Senior Citizen,Mobile App,1124,17,33,Superfast,333,Senior Citizen,No,,Confirmed
PNR0000006072,29423,17/04/41,1AC,Ladies,LKO,JU,16/08/40,RAC,2,Senior Citizen,IRCTC Website,204,6,25,Shatabdi,134,Senior Citizen,Yes,,Confirmed
PNR0000006073,55023,18/04/41,Sleeper,Ladies,PNBE,JU,17/08/40,Waitlisted,3,Child,Mobile App,161,3,33,Rajdhani,194,Senior Citizen,Yes,WL182,Not Confirmed
PNR0000006074,60014,19/04/41,,Premium Tatkal,BBS,ASR,18/08/40,Confirmed,1,Adult,,1166,11,45,Superfast,477,Senior Citizen,Yes,,Confirmed
PNR0000006075,85662,20/04/41,1AC,Ladies,CSMT,BBS,19/08/40,RAC,5,Child,IRCTC Website,1885,16,24,Superfast,,None,Yes,,Confirmed
PNR0000006076,78313,21/04/41,1AC,Ladies,CSMT,JP,20/08/40,Confirmed,4,Child,IRCTC Website,500,5,27,ShatabdN,230,Senior Citizen,No,,Confirmed
PNR0000006077,86534,22/04/41,3AC,General,CNB,UMB,21/08/40,Waitlisted,1,Senior Citizen,Counter,246,5,39,Shatabdi,171,None,No,WL192,Not Confirmed
PNR0000006078,10002,23/04/41,Sleeper,General,MAS,MAS,22/08/40,Waitlisted,4,Child,Counter,453,4,25,Rajdhani,193,Senior Citizen,Yes,WL033,Not Confirmed
PNR0000006079,74008,24/04/41,Sleeper,Tatkal,LTT,HWH,23/08/40,Waitlisted,4,Senior Citizen,Counter,149,3,14,Express,472,Defense Quota,Yes,WL129,Not Confirmed
PNR0000006080,88305,25/04/41,Sleeper,Tatkal,GKP,JHS,24/08/40,RAC,4,Senior Citizen,Mobile App,528,14,26,Rajdhani,,Senior Citizen,Yes,,Confirmed
PNR0000006081,20261,26/04/41,3AC,General,JP,LTT,25/08/40,Waitlisted,3,Child,Counter,266,5,24,Express,232,None,No,WL191,Not Confirmed
PNR0000006082,65381,27/04/41,2AC,Premium Tatkal,ADI,UMB,26/08/40,Confirmed,3,Adult,Mobile App,96,4,15,Rajdhani,234,None,Yes,,Confirmed
